time_s,side,frame_num,y_smoothed
0.136070,left,4,596.02
0.170088,right,5,590.04
0.816422,right,24,584.82
1.020528,right,30,597.49
1.394721,left,41,598.04
1.700880,right,50,595.15
2.007038,left,59,604.28
2.687390,right,79,582.83
3.129619,left,92,571.92
3.299707,right,97,601.85
3.605865,right,106,592.43
3.775953,left,111,596.53
4.116129,left,121,617.82
4.626393,right,136,582.87
4.728446,left,139,607.09
4.932551,left,145,595.94
5.476833,right,161,597.28
6.089150,left,179,612.06
6.157185,right,181,584.01
6.599413,right,194,601.39
6.701466,left,197,605.25
6.905572,left,203,603.25
7.313783,left,215,636.27
7.381818,right,217,593.59
7.585924,left,223,624.72
7.994135,right,235,615.35
7.994135,left,235,586.62
8.674487,left,255,599.90
9.150733,right,269,598.69
9.320821,left,274,599.31
9.456891,right,278,595.81
9.626979,left,283,591.50
10.307331,left,303,601.79
10.341349,right,304,581.34
10.953666,left,322,588.75
11.497947,right,338,589.28
11.634018,left,342,596.68
11.940176,right,351,592.05
12.722581,left,374,579.83
12.926686,right,380,590.35
