time_s,side,frame_num,y_smoothed
0.170088,right,5,851.77
0.476246,left,14,840.15
0.986510,right,29,840.19
2.755425,left,81,841.41
3.265689,right,96,839.20
4.184164,right,123,840.32
5.272727,left,155,835.41
7.653959,right,225,837.51
8.164223,left,240,826.96
9.899120,left,291,829.77
11.225806,left,330,855.80
11.736070,left,345,844.43
14.151320,right,416,846.12
15.716129,right,462,872.88
16.430499,right,483,860.30
17.280938,left,508,839.32
17.621114,right,518,839.01
18.845748,right,554,826.88
21.703226,left,638,834.72
