time_s,side,frame_num,y_smoothed
0.306158,right,9,854.01
0.544282,left,16,842.07
1.326686,right,39,846.66
1.326686,left,39,831.70
2.075073,left,61,834.62
2.755425,left,81,841.41
3.265689,right,96,839.20
3.980059,left,117,850.15
4.184164,right,123,840.32
4.660411,left,137,848.45
4.932551,right,145,848.37
5.408798,left,159,837.24
6.293255,left,185,838.64
6.327273,right,186,839.67
7.653959,right,225,837.51
8.640469,right,254,837.20
8.844575,left,260,835.51
9.218768,left,271,835.68
9.763050,right,287,843.13
9.899120,left,291,829.77
10.341349,left,304,825.98
10.715543,right,315,842.89
11.225806,left,330,855.80
11.702053,right,344,850.07
12.212317,left,359,854.45
12.994721,right,382,848.32
12.994721,left,382,857.32
13.981232,left,411,851.96
14.185337,right,417,846.36
14.865689,left,437,866.26
15.716129,right,462,872.88
16.464516,left,484,851.59
16.838710,right,495,861.50
17.417009,left,512,842.87
17.791202,right,523,836.27
18.199413,left,535,814.48
18.641642,left,548,813.00
19.287977,right,567,833.58
19.287977,left,567,836.68
19.968328,left,587,833.79
20.512610,left,603,833.05
20.954839,right,616,829.06
21.158944,left,622,832.44
21.839296,right,642,821.97
